月,日,星期,,,,,,,,行号,方案号
8,27,3,4,4,5,5,5,6,,0行,方案1
8,27,3,4,,5,2,5,6,,1行,方案1
8,27,3,4,2,2,2,6,6,6,2行,方案1
8,27,3,4,2,3,3,3,9,7,3行,方案1
8,27,3,1,3,3,8,9,9,7,4行,方案1
8,27,3,1,8,8,8,9,,7,5行,方案1
8,27,3,1,1,1,,0,0,7,6行,方案1
8,27,3,,,,,0,0,0,7行,方案1
8,27,3,5,5,5,8,8,8,,0行,方案2
8,27,3,5,,5,4,6,8,,1行,方案2
8,27,3,1,1,1,4,6,6,6,2行,方案2
8,27,3,1,2,2,4,6,9,7,3行,方案2
8,27,3,1,2,4,4,9,9,7,4行,方案2
8,27,3,2,2,3,3,9,,7,5行,方案2
8,27,3,3,3,3,,0,0,7,6行,方案2
8,27,3,,,,,0,0,0,7行,方案2
8,27,3,4,4,4,4,8,6,,0行,方案3
8,27,3,4,,8,8,8,6,,1行,方案3
8,27,3,2,3,3,3,6,6,6,2行,方案3
8,27,3,2,2,2,3,3,9,7,3行,方案3
8,27,3,1,5,2,5,9,9,7,4行,方案3
8,27,3,1,5,5,5,9,,7,5行,方案3
8,27,3,1,1,1,,0,0,7,6行,方案3
8,27,3,,,,,0,0,0,7行,方案3
8,27,3,4,4,4,4,8,6,,0行,方案4
8,27,3,4,,8,8,8,6,,1行,方案4
8,27,3,2,3,3,3,6,6,6,2行,方案4
8,27,3,2,2,2,3,3,9,9,3行,方案4
8,27,3,1,5,2,5,9,9,7,4行,方案4
8,27,3,1,5,5,5,0,,7,5行,方案4
8,27,3,1,1,1,,0,0,7,6行,方案4
8,27,3,,,,,0,0,7,7行,方案4
8,27,3,4,4,4,4,2,2,,0行,方案5
8,27,3,4,,3,3,3,2,,1行,方案5
8,27,3,9,3,3,0,6,2,2,2行,方案5
8,27,3,9,9,0,0,6,6,6,3行,方案5
8,27,3,1,9,0,0,6,5,5,4行,方案5
8,27,3,1,7,7,7,7,,5,5行,方案5
8,27,3,1,1,1,,8,5,5,6行,方案5
8,27,3,,,,,8,8,8,7行,方案5
8,27,3,5,5,5,3,2,2,,0行,方案6
8,27,3,5,,5,3,3,2,,1行,方案6
8,27,3,9,6,6,6,3,2,2,2行,方案6
8,27,3,9,9,6,8,3,4,4,3行,方案6
8,27,3,1,9,6,8,8,8,4,4行,方案6
8,27,3,1,7,7,7,7,,4,5行,方案6
8,27,3,1,1,1,,0,0,4,6行,方案6
8,27,3,,,,,0,0,0,7行,方案6
8,27,3,7,3,3,3,2,2,,0行,方案7
8,27,3,7,,9,3,3,2,,1行,方案7
8,27,3,7,9,9,4,4,2,2,2行,方案7
8,27,3,7,9,6,4,1,1,1,3行,方案7
8,27,3,6,6,6,4,1,5,5,4行,方案7
8,27,3,0,0,6,4,1,,5,5行,方案7
8,27,3,0,0,0,,8,5,5,6行,方案7
8,27,3,,,,,8,8,8,7行,方案7
8,27,3,7,2,2,0,0,3,,0行,方案8
8,27,3,7,,2,0,0,3,,1行,方案8
8,27,3,7,4,2,2,0,3,3,2行,方案8
8,27,3,7,4,9,6,6,6,3,3行,方案8
8,27,3,1,4,9,9,6,5,5,4行,方案8
8,27,3,1,4,4,9,6,,5,5行,方案8
8,27,3,1,1,1,,8,5,5,6行,方案8
8,27,3,,,,,8,8,8,7行,方案8
8,27,3,7,0,0,0,2,2,,0行,方案9
8,27,3,7,,0,0,6,2,,1行,方案9
8,27,3,7,9,6,6,6,2,2,2行,方案9
8,27,3,7,9,9,5,6,5,4,3行,方案9
8,27,3,3,3,9,5,5,5,4,4行,方案9
8,27,3,8,3,3,3,1,,4,5行,方案9
